Country,Region,ISO,Indicator name,Year,Value,ITU estimate?
Afghanistan,Asia & Pacific,AFG,Active mobile-broadband subscriptions per 100 inhabitants,2010,0,
Afghanistan,Asia & Pacific,AFG,Fixed broadband subscriptions per 100 inhabitants,2010,0,
Afghanistan,Asia & Pacific,AFG,Fixed-telephone subscriptions per 100 inhabitants,2010,0.1,
Afghanistan,Asia & Pacific,AFG,Individuals using the Internet. total (%),2010,4,yes
Afghanistan,Asia & Pacific,AFG,International bandwidth per Internet user (kbit/s),2010,1773.7,
Afghanistan,Asia & Pacific,AFG,Mobile-cellular subscriptions per 100 inhabitants,2010,36.2,
Afghanistan,Asia & Pacific,AFG,Population covered by a mobile-cellular network (%),2010,80,yes
Afghanistan,Asia & Pacific,AFG,Total fixed broadband subscriptions,2010,1500,yes
Albania,Europe,ALB,Active mobile-broadband subscriptions per 100 inhabitants,2010,0,
Albania,Europe,ALB,Fixed broadband subscriptions per 100 inhabitants,2010,3.6,
Albania,Europe,ALB,Fixed-telephone subscriptions per 100 inhabitants,2010,11.4,
Albania,Europe,ALB,Individuals using the Internet. total (%),2010,45,
Albania,Europe,ALB,International bandwidth per Internet user (kbit/s),2010,12966.9,
Albania,Europe,ALB,Mobile-cellular subscriptions per 100 inhabitants,2010,92.4,
Albania,Europe,ALB,Population covered by a mobile-cellular network (%),2010,98.2,
Albania,Europe,ALB,Total fixed broadband subscriptions,2010,105539,
Algeria,Arab States,DZA,Active mobile-broadband subscriptions per 100 inhabitants,2010,0,
Algeria,Arab States,DZA,Fixed broadband subscriptions per 100 inhabitants,2010,2.5,
Algeria,Arab States,DZA,Fixed-telephone subscriptions per 100 inhabitants,2010,8.2,
Algeria,Arab States,DZA,Individuals using the Internet. total (%),2010,12.5,
Algeria,Arab States,DZA,International bandwidth per Internet user (kbit/s),2010,8032.1,
Algeria,Arab States,DZA,Mobile-cellular subscriptions per 100 inhabitants,2010,91.4,
Algeria,Arab States,DZA,Total fixed broadband subscriptions,2010,900000,
Andorra,Europe,AND,Active mobile-broadband subscriptions per 100 inhabitants,2010,0,
Andorra,Europe,AND,Fixed broadband subscriptions per 100 inhabitants,2010,34.3,
Andorra,Europe,AND,Fixed broadband subscriptions: >10 Mbit/s,2010,11238,
Andorra,Europe,AND,Fixed broadband subscriptions: 2 to 10 Mbit/s,2010,2699,
Andorra,Europe,AND,Fixed broadband subscriptions: 256kbit/s - <2Mbit/s,2010,10565,
Andorra,Europe,AND,Fixed-telephone subscriptions per 100 inhabitants,2010,53.4,
Andorra,Europe,AND,Individuals using the Internet. total (%),2010,81,
Andorra,Europe,AND,International bandwidth per Internet user (kbit/s),2010,39702.8,
Andorra,Europe,AND,Mobile-cellular subscriptions per 100 inhabitants,2010,91.6,
Andorra,Europe,AND,Population covered by a mobile-cellular network (%),2010,99.1,
Andorra,Europe,AND,Population covered by at least a 3G mobile network (%),2010,95.3,
Andorra,Europe,AND,Total fixed broadband subscriptions,2010,24502,
Angola,Africa,AGO,Active mobile-broadband subscriptions per 100 inhabitants,2010,1.2,
Angola,Africa,AGO,Fixed broadband subscriptions per 100 inhabitants,2010,0.1,
Angola,Africa,AGO,Fixed-telephone subscriptions per 100 inhabitants,2010,1.2,
Angola,Africa,AGO,Individuals using the Internet. total (%),2010,2.8,yes
Angola,Africa,AGO,International bandwidth per Internet user (kbit/s),2010,1834.3,
Angola,Africa,AGO,Mobile-cellular subscriptions per 100 inhabitants,2010,40.2,
Angola,Africa,AGO,Total fixed broadband subscriptions,2010,15000,yes
Antigua and Barbuda,The Americas,ATG,Active mobile-broadband subscriptions per 100 inhabitants,2010,0,
Antigua and Barbuda,The Americas,ATG,Fixed broadband subscriptions per 100 inhabitants,2010,8.3,
Antigua and Barbuda,The Americas,ATG,Fixed-telephone subscriptions per 100 inhabitants,2010,42.4,
Antigua and Barbuda,The Americas,ATG,Individuals using the Internet. total (%),2010,47,yes
Antigua and Barbuda,The Americas,ATG,International bandwidth per Internet user (kbit/s),2010,29793.9,
Antigua and Barbuda,The Americas,ATG,Mobile-cellular subscriptions per 100 inhabitants,2010,196,
Antigua and Barbuda,The Americas,ATG,Population covered by a mobile-cellular network (%),2010,100,
Antigua and Barbuda,The Americas,ATG,Population covered by at least a 3G mobile network (%),2010,0,
Antigua and Barbuda,The Americas,ATG,Total fixed broadband subscriptions,2010,7119,
Argentina,The Americas,ARG,Active mobile-broadband subscriptions per 100 inhabitants,2010,4.9,
Argentina,The Americas,ARG,Fixed broadband subscriptions per 100 inhabitants,2010,9.8,
Argentina,The Americas,ARG,Fixed-telephone subscriptions per 100 inhabitants,2010,24.1,
Argentina,The Americas,ARG,Households with a computer at home (%),2010,47,
Argentina,The Americas,ARG,Individuals using the Internet. total (%),2010,45,yes
Argentina,The Americas,ARG,International bandwidth per Internet user (kbit/s),2010,16291.5,
Argentina,The Americas,ARG,Mobile-cellular subscriptions per 100 inhabitants,2010,138.9,
Argentina,The Americas,ARG,Total fixed broadband subscriptions,2010,4028238,
Armenia,CIS,ARM,Active mobile-broadband subscriptions per 100 inhabitants,2010,12,
Armenia,CIS,ARM,Fixed broadband subscriptions per 100 inhabitants,2010,3.2,
Armenia,CIS,ARM,Fixed-telephone subscriptions per 100 inhabitants,2010,20.1,
Armenia,CIS,ARM,Households with a computer at home (%),2010,20,
Armenia,CIS,ARM,Households with Internet access at home (%),2010,13.6,
Armenia,CIS,ARM,Households with Internet access at home. rural (%),2010,3.8,
Armenia,CIS,ARM,Households with Internet access at home. urban (%),2010,18.6,
Armenia,CIS,ARM,Individuals using the Internet. total (%),2010,25,yes
Armenia,CIS,ARM,International bandwidth per Internet user (kbit/s),2010,14319,
Armenia,CIS,ARM,Mobile-cellular subscriptions per 100 inhabitants,2010,131.2,
Armenia,CIS,ARM,Population covered by a mobile-cellular network (%),2010,98.9,
Armenia,CIS,ARM,Population covered by at least a 3G mobile network (%),2010,93,
Armenia,CIS,ARM,Total fixed broadband subscriptions,2010,93586,
Australia,Asia & Pacific,AUS,Active mobile-broadband subscriptions per 100 inhabitants,2010,56.4,
Australia,Asia & Pacific,AUS,Fixed broadband subscriptions per 100 inhabitants,2010,25,
Australia,Asia & Pacific,AUS,Fixed broadband subscriptions: >10 Mbit/s,2010,4431000,
Australia,Asia & Pacific,AUS,Fixed broadband subscriptions: 2 to 10 Mbit/s,2010,4067000,
Australia,Asia & Pacific,AUS,Fixed broadband subscriptions: 256kbit/s - <2Mbit/s,2010,1240000,
Australia,Asia & Pacific,AUS,Fixed-telephone subscriptions per 100 inhabitants,2010,48.3,
Australia,Asia & Pacific,AUS,Individuals using the Internet. total (%),2010,76,yes
Australia,Asia & Pacific,AUS,International bandwidth per Internet user (kbit/s),2010,41829.6,
Australia,Asia & Pacific,AUS,Mobile-cellular subscriptions per 100 inhabitants,2010,102.2,
Australia,Asia & Pacific,AUS,Monthly fixed broadband Internet traffic per fixed broadband subscription (MB),2010,9087.1,
Australia,Asia & Pacific,AUS,Population covered by a mobile-cellular network (%),2010,99,
Australia,Asia & Pacific,AUS,Population covered by at least a 3G mobile network (%),2010,99,
Australia,Asia & Pacific,AUS,Total fixed broadband subscriptions,2010,5510000,
Austria,Europe,AUT,Active mobile-broadband subscriptions per 100 inhabitants,2010,33,
Austria,Europe,AUT,Female Internet users as a % of total female population,2010,70.7,
Austria,Europe,AUT,Fixed broadband subscriptions per 100 inhabitants,2010,24.5,
Austria,Europe,AUT,Fixed-telephone subscriptions per 100 inhabitants,2010,40.6,
Austria,Europe,AUT,Households with a computer at home (%),2010,76.2,
Austria,Europe,AUT,Households with Internet access at home (%),2010,72.9,
Austria,Europe,AUT,Individuals using the Internet. total (%),2010,75.2,
Austria,Europe,AUT,International bandwidth per Internet user (kbit/s),2010,54965.2,
Austria,Europe,AUT,Internet users: 15-24 years as a % of all 15-24 years,2010,95.6,
Austria,Europe,AUT,Internet users: 25-74 years as a % of all 25-74 years,2010,71.7,
Austria,Europe,AUT,Male Internet users as a % of total male population,2010,79.7,
Austria,Europe,AUT,Mobile-cellular subscriptions per 100 inhabitants,2010,146.4,
Austria,Europe,AUT,Monthly mobile broadband Internet traffic per mobile broadband subscription (MB),2010,603.8,
Austria,Europe,AUT,Population covered by a mobile-cellular network (%),2010,99,
Austria,Europe,AUT,Population covered by at least a 3G mobile network (%),2010,96,
Austria,Europe,AUT,Total fixed broadband subscriptions,2010,2050400,
Azerbaijan,CIS,AZE,Active mobile-broadband subscriptions per 100 inhabitants,2010,5,
Azerbaijan,CIS,AZE,Female Internet users as a % of total female population,2010,36.5,
Azerbaijan,CIS,AZE,Fixed broadband subscriptions per 100 inhabitants,2010,5.1,
